time,ghi_actual_wh_m2,ghi_forecast_wh_m2,temp_c,load_kw
2025-03-25 14:00:00,770.53,584.3167470242078,41.4,30.584742803268185
2025-03-25 15:00:00,556.8,287.91705609691434,40.84,34.002060848179674
2025-03-25 16:00:00,309.6,131.41951381917968,39.73,45.24394059695124
2025-03-25 17:00:00,89.93,-48.60384754312318,36.87,50.12495953541037
2025-03-25 18:00:00,0.0,-129.7718371851343,32.81,61.154999294716234
2025-03-25 19:00:00,0.0,-32.84698302312141,31.7,79.4055209263249
2025-03-25 20:00:00,0.0,40.441653689211336,30.79,81.58111360248496
2025-03-25 21:00:00,0.0,8.617790883955195,29.89,75.3631986465957
2025-03-25 22:00:00,0.0,-13.390038841496008,28.97,66.59890225564267
2025-03-25 23:00:00,0.0,-24.148705624080502,28.06,49.43543847090365
2025-03-26 00:00:00,0.0,-23.07186100777723,27.15,19.983150154937583
2025-03-26 01:00:00,0.0,-10.31855777559825,26.26,19.654657454790105
2025-03-26 02:00:00,0.0,13.118419453209924,25.39,20.6560828789137
2025-03-26 03:00:00,0.0,45.52099039010976,24.54,21.524452544107124
2025-03-26 04:00:00,0.0,84.64442248126605,23.75,23.791059939863754
2025-03-26 05:00:00,0.0,127.81469453374652,23.07,28.39306022079155
2025-03-26 06:00:00,41.05,180.4787697596412,23.62,37.120261378194485
2025-03-26 07:00:00,229.4,316.06304743322147,26.42,44.61085867642231
2025-03-26 08:00:00,479.12,630.0580460291616,31.63,46.07555885658203
2025-03-26 09:00:00,712.7,839.7125511019412,36.49,42.73407968557373
2025-03-26 10:00:00,892.05,929.3036054588156,38.84,37.62351061954099
2025-03-26 11:00:00,997.05,930.5042025558424,40.34,33.35170349282439
2025-03-26 12:00:00,1070.32,867.4383928897951,41.2,31.33219662669665
2025-03-26 13:00:00,979.8,822.7715814638859,41.59,28.990927797471034
2025-03-26 14:00:00,816.1,540.4881063097982,41.54,31.875188478396804
2025-03-26 15:00:00,596.62,342.23072980135555,41.01,34.65362650328566
2025-03-26 16:00:00,342.33,140.00242326274616,39.92,44.55025159382231
2025-03-26 17:00:00,102.3,-46.48470386178687,37.33,48.615573525849875
2025-03-26 18:00:00,0.0,-151.47339023210913,33.31,63.78339061681626
2025-03-26 19:00:00,0.0,-47.89351446122842,31.94,77.05268623063695
2025-03-26 20:00:00,0.0,40.52321276080291,30.83,78.88986620191879
2025-03-26 21:00:00,0.0,8.45467274077204,29.81,77.64005436742032
2025-03-26 22:00:00,0.0,-13.777444431555992,28.78,61.671396201704006
2025-03-26 23:00:00,0.0,-24.821567964711008,27.73,49.635135249810176
2025-03-27 00:00:00,0.0,-23.928231259488783,26.73,20.55358383367271
2025-03-27 01:00:00,0.0,-11.154538259411908,25.85,20.44891439547961
2025-03-27 02:00:00,0.0,12.506726416273096,25.09,21.468919203023365
